u10001,2014-11-14 00:02:14,2014-11-14 00:02:20,A00001/B00001/C00001/D00001/
u10002,2014-12-12 14:12:05,2014-12-12 14:12:06,A00002/B00002/C00002/D24897/
u10003,2014-11-14 00:02:41,2014-11-14 00:16:40,A00002/B00002/C00002/D00002/;A00002/B00002/C00003/D00003/;A00002/B00002/C00007/D00007/;A00002/B00002/C00002/D00009/;A00002/B00002/C00003/D00010/;A00002/B00002/C00007/D00011/;A00002/B00002/C00002/D00012/;A00002/B00002/C00007/D00014/;A00002/B00002/C00003/D00017/;A00002/B00002/C00011/D00021/;A00002/B00002/C00004/D00023/;A00002/B00002/C00012/D00025/
u10004,2014-11-14 00:21:55,2014-11-14 00:21:57,A00002/B00006/C00015/D00030/
u10005,2014-11-14 00:26:08,2014-11-14 00:29:25,A00002/B00002/C00003/D00033/;A00002/B00002/C00007/D00035/;A00002/B00002/C00007/D00038/
u10006,2014-11-14 12:40:37,2014-11-14 12:40:42,A00002/B00007/C00016/D00836/
u10007,2014-11-17 19:11:16,2014-11-17 19:16:44,A00002/B00006/C00030/D05969/;A00002/B00006/C00030/D05970/;A00002/B00006/C00030/D05971/;A00002/B00006/C00030/D05972/;A00002/B00006/C00030/D05974/;A00002/B00006/C00030/D05976/
u10008,2014-11-17 19:20:06,2014-11-17 19:21:54,A00002/B00006/C00030/D05978/;A00002/B00006/C00015/D05980/
u10009,2014-11-18 13:22:08,2014-11-18 13:22:10,A00002/B00002/C00002/D06873/
u10010,2014-11-27 18:29:47,2014-11-27 18:29:51,A00002/B00011/C00180/D14591/
u10011,2014-12-02 08:11:29,2014-12-02 08:16:04,A00002/B00003/C00014/D17508/;A00002/B00003/C00005/D17510/;A00002/B00003/C00005/D17512/
u10012,2014-12-05 08:50:36,2014-12-05 08:53:48,A00002/B00007/C00016/D18222/;A00002/B00007/C00016/D18223/;A00002/B00006/C00015/D18224/
u10013,2014-12-05 19:11:08,2014-12-05 19:11:15,A00002/B00001/C00010/D18416/
u10014,2014-12-06 12:53:31,2014-12-06 12:55:37,A00002/B00003/C00006/D19760/;A00002/B00001/C00010/D18416/;A00002/B00003/C00006/D19761/;A00002/B00003/C00006/D08538/
u10015,2014-12-06 13:48:31,2014-12-06 13:48:34,A00002/B00001/C00010/D18416/
u10016,2014-12-06 14:54:04,2014-12-06 14:54:09,A00002/B00002/C00007/D19802/
u10017,2014-12-06 16:00:32,2014-12-06 16:00:41,A00002/B00001/C00010/D18416/
u10018,2014-12-06 16:09:40,2014-12-06 16:11:42,A00003/B00022/C00048/D20036/;A00002/B00001/C00010/D18416/
u10019,2014-12-06 16:37:47,2014-12-06 16:37:54,A00002/B00001/C00010/D18416/
u10020,2014-12-06 17:07:57,2014-12-06 17:08:51,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
u10021,2014-12-06 17:18:00,2014-12-06 17:18:53,A00002/B00001/C00010/D18416/;A00002/B00002/C00002/D19994/
